short_description,description,ticket_type,category,sub_category1,sub_category2,business_service,urgency,impact
change method on ms exchange,change method hi fail integrate secured protocol due supported method by configured secure change plain text basic authentication please questions hesitate approach thank senior engineer,1,4,2,21,36,3,4
re import,re import dear please rise best regards engineer tuesday december import ne import gender si date birth reference number si care ca fie populate cat board ne lead,1,4,3,7,40,3,4
re oracle access,re hi please assign kind regards analyst december pm hello please same role thank lead,1,4,1,7,67,3,4
brown and,hi contracts extended until please amendments made thanks kind regards,1,4,1,21,4,3,4
wants to access account documentation,wants documentation serve lead thank accept decline requests,1,4,1,7,46,3,4
snapshots on instances,snapshots instances dear make snapshots instances assignee best regards engineer,1,4,2,7,95,3,4
access to meeting rooms,meeting rooms hello moment permission book meeting rooms please provide book meeting rooms thank great vetting officer,1,4,1,7,36,3,4
career,hi please help change tried received error name thanks senior,1,4,2,105,67,3,4
powwow project credentials,powwow credentials dear polite please intern december powwow credentials hello currently working fix deleting recurrent meetings powwow mentioned help testing purposes virtual meeting room powwow delete rights meeting room thank regards intern,1,4,2,21,4,3,4
new starter,hi please fill thank kind regards id image cd,1,4,2,94,40,3,4
information the,information hi during pen test found out accessible interned via public port please ask client demo test client accessible answers tho these questions let ask internally,1,6,22,88,41,3,4
access oracle,hi please assign roles prod too please thank kind regards december pm re hello checked production environment items provide costs contract contracts contract contract revenues thank help best regards thursday december pm re hi granted same kind regards thursday december pm hi kindly ask give same thanks officer,1,4,2,21,66,3,4
new purchase po,purchase po dear purchased monitor led monitor dp panel black please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,1,5,13,7,32,3,4
new machine to be added to the policy package,hi ask add resource policy package name machine obi obi port document attached thank december pm december pm acre re december re user december re si obi face december re si december ne la va ii legate obi logo central color con care pot partial strict si pot ale care va la contains proprietary information which legally privileged unauthorized dissemination prohibited intended recipient views addressing transmission error has misdirected please notify author by replying intended recipient must disclose distribute copy print rely,1,6,1,7,52,3,4
sow update,sow update hi please help update sow parent cs contract blank contain va deal executed editable thanks christmas holidays,1,4,3,7,10,3,4
project setup form,setup form dear please find attached setup form filled needed information regarding additional information needed please hesitate best regards lead,1,4,2,7,66,3,4
usage of new project template,usage template hi keep getting creation requests contain excel form save lot users submit these requests form greatly appreciate reinforce usage template thank best regards engineer,1,4,3,60,66,3,4
documents required,re required let separate country by archiving entire folder tried initially unfortunately colombia folder too big even solution therefor remains once technical option provided thank understanding sorry inconveniences lead december pm re required unfortunately impossible attach folder added advise action solution comes tomorrow won thank much lead december pm re required hi zip files think confidential area both regards december re required hello unfortunately allow folder too big even archived shared location both has other ideas help provide highly appreciated thank much lead december pm re required thank looking forward receiving best december re required dear provide were locations thank lead wednesday november pm required hi assist collating details requested mean liaising location details help thanks november re required hi collating across board record keeping requirements best november re required hi please information thanks november required hi wondering please provide ask where applicable requirement populate records copy listed within next couple weeks latest let thank help regards proprietary information inventions agreements employees intellectual entities correspondence memoranda notes concerning pending threatened work stoppage bargaining agreements employment confidentiality similar agreements employees similar agreements key employer other than copies severance plans summary plan descriptions copies benefit plan profit sharing retirement plans related agreements adoption agreements agreements summary plan descriptions annuity contracts copies irs determination letters benefit plans copies welfare benefit plan cafeteria term short term disability plans summary plan descriptions documentation regarding plan insured self funded documentation regarding employer maintained retiree benefits organization chart indicating number employees by functional area employment contracts agreements consultants independent contractors commissions arrangements indemnification agreements directors officers incentive bonus plans correspondence memoranda notes concerning labour employment disputes copies severance plans summary plan descriptions,1,4,3,105,36,3,4
new starter sands contractor,re starter form contractor please find attached thanks december starter form contractor hi please help completion attached starter form join contractor thank,1,4,2,94,40,3,4
how do stop a re boot minutes am on important call,how stop re boot minutes important call ext mob glee zone,1,5,15,88,100,3,4
aging report fix request,aging report fix hi thanks afternoon sessions various requested aging report fixed rather than removed decommissioned agreed report looks right old because senior originally requested please apply fix aging report figures attached supporting documentation assist fix stakeholder topic test assist required thanks assistance consultant december re outstanding hi please find attached report agreed suspicion problem report itself billing query which accounts build report thanks lot regards date december re outstanding hi had chat similar report overlap session today quickly walk issue report helpful context consultant id image december outstanding hi how doing everything issue report attached seems transaction amounts billing november reflect invoice amounts transferred module report daily much appreciated issue fixed marked transactions amounts created manually module invoice amounts red ones imported module billing short call want thanks lot kind regards,1,4,3,21,67,3,4
,hi please create right after finishes deploy text images layouts ad images smiling please create within stream thanks,1,4,2,7,46,3,4
fusion holiday records for for,holiday records hello think problem holidays recorded carried over days base entitlement which makes total took days prior beginning which means did lose carried over days cannot reconcile days taken pending which suggests days left take balance saying days status cases please help thank,1,4,2,105,67,3,4
reset password,hi writing kindly ask her her she her other further details please hesitate her her personal phone number thanks programme portfolio officer,1,4,2,76,4,3,4
wants to access account documentation,wants documentation kindly ask folder thank accept decline requests,1,4,1,7,46,3,4
os wireless ad,os wireless ad hello please create ad where add users os automatically authenticated wireless example achieve same thing thank engineer ext,1,4,2,7,4,3,4
outlook permissions,permissions dear please advise how third party calendar location subject event well please provide description about meetings meeting others inside content event calendar shared permissions thank,1,4,3,88,36,3,4
change request,change hello setup changed please help facilitate thanks,1,4,2,21,67,3,4
please assist with access to via command line,please assist via command hello bit bucket via command located operating git connect host port timed out connected wired details machine host name primary suffix node type hybrid routing wins proxy suffix search adapter suffix description intel physical link preferred preferred mask obtained thursday december pm expires december pm default gateway client over think port protocol port order made established make vacations rentals needed run script testing instance,1,4,1,7,19,3,4
project codes created on wrong entities pas,codes created wrong entities hi please code per please let additional required thanks best regards december pm codes created wrong entities importance high hi code created while other codes needs closed requested please find context thread doing clients st thank help please keep loop best regards officer december re codes created wrong entities hi agree response whenever notices wrong codes wrong entity wrong advise close old reopen ones depending stage record code moves needs submit code billing good opportunity review detect incorrect ones based actual contract entity answers question please let thanks senior accountant ext tuesday december re codes created wrong entities thank much appreciated hi input well please officer december re codes created wrong entities hi cases advise perspective guidance has close old incorrect codes create ones cases history stay old codes future ones performing reclassifications important pm communicate members about usage codes immediately inputting timecards right code perspective believe best advise topic kind regards wednesday november pm codes created wrong entities hi during clients analysis billing found multiple codes multiple clients which were created wrong entities client has relevant sows signed together issued recognized has codes both created were created error raised red flags assume costs these ongoing going wrong entity while etc registered under entity issue billing perspective related contracts therefore contracts entity input perspective pass whenever asking cancel recreate under entity thank officer,1,4,2,7,70,3,4
extended contract,contractor hi per contract has extended st please amendments made thanks kind regards december re hi please proceed extend contract till thanks,1,4,2,21,4,3,4
manage access to site,re manage site testing discipline forms hello location please other file allocation other thank,1,4,1,87,46,3,4
device recovery report paper at paper tray,device recovery report tray printer details tray copier details tray scanner ready details model name device name comment floor host name name print name file name printer name zone name name computer name share name device notified,1,5,13,60,74,3,4
,hello part user different way log regards,1,4,2,7,32,3,4
notification maintenance work upgrading software,change task has assigned peer review task hi guys please prepare please also inform heads polls drop assets listed attached let help thanks dodo december re change task has assigned peer review task dear please users about wireless upgrade best regards senior engineer please consider environment print friday december change task has assigned peer review task hello please advised change task number has assigned please review details take appropriate action change task details change task summary peer review task change number change summary software upgrade release change task please link kind regards ref msg,1,6,22,60,52,3,4
create mailbox,re create active directory hey thank creating add manage searching come mailbox order added apologies spoke too about needing mailbox thank,1,4,2,0,36,3,4
,reached out via phone he assigned,1,4,2,7,32,3,4
new purchase po,purchase po dear purchased please log after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,1,5,13,7,32,3,4
to connector,connector hi got connecter thanks regards,1,5,13,7,32,3,4
maternity leaver access card,maternity leaver form hi please fill maternity leaver form thank,1,4,2,51,73,3,4
new starter,re starter form thanks attached head tax treasury december pm starter form hi please help completion attached starter form joining thank,1,4,2,94,40,3,4
re this week password,re hi please file guest passwords give her pass file thanks december pm please guest thank,1,4,1,7,46,3,4
re,re hi future please include requests dear kind help think meant provide contributor rights locations site cheers december pm importance high hello va cum va,1,4,1,7,46,3,4
add to policy,please add his tunneling also add him policy policy he instance other,1,4,2,7,65,3,4
divert main line calls,urgent dear has called sick today off her out today currently annual leave returning shall respond query upon return emergencies please thank also please ask divert main calls coming number mobile phone please friday until calls mobile after main rang times thank yours sincerely,1,4,2,21,58,3,4
access to resources,re policies thank apologies ask priority perform his activity without these accesses more details please let regards december pm policies hello due joiner policy provide os image come further editing installations additions removals then act resolve forwarded kind regards engineer ext re policies importance high hi ask treat issue high priority has per starter form out december tunneling also add him policy policy he instance other detailed requirements form mentioned friday results noticed he comparing write write missed policies please investigate he included policies assigned correctly him he needs resources thank december policies hi friday results noticed he comparing write write missed policies please investigate he included policies assigned correctly him he needs resources regards,1,4,1,7,4,3,4
new project request form for project pas,form hi urgent code please find form attached done opened next days greatly appreciated booked thanks director,1,4,2,7,70,3,4
admin rights,rights hello think provide rights machine today tomorrow located finland today tomorrow make setup install drivers colleagues help specify important asap because input client thank best regards senior developer,1,5,13,7,32,3,4
contract is due to end,contract due hi per date has confirmed kind regards december contract due regards december re contract due contract renewed regards head testing mob december contract due dear contract due please contract extended date note by disabled contract ended thank,1,4,2,21,4,3,4
leaver form for leave date november location,leaver form leave date november location hello leaver form has filled by name leaving date november location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments needed tickets automatically logged best regards note mailbox receive messages,1,4,2,51,32,3,4
request access to network for has been assigned to ms local support,has assigned hello more transfer add user computer because user thank engineer thursday december pm has assigned hello please advised record number has assigned please review details take appropriate action reference number details requested location summary additional comments requirements requested hello transferred bench december st he must these lists he also has changed thank assistance assign reference assignment summary location please link kind regards please ref msg,1,5,1,7,52,3,4
access space for,hi please approve thank,1,7,1,7,73,3,4
new joiner,re joiner hello transfer form transfer far transfer date informed starting today he please find attached transfer form thank administration officer pm joiner importance high hello please advise received starter form please advised tickets logged solved once receive completed starter form thanks kind regards analyst ext hub december joiner importance high hi guys surprise joiner today please kindly assign card him thank best regards,1,4,2,21,73,3,4
need some space on outlook,hi because mailbox almost delete take please,1,4,2,21,36,3,4
new purchase po,purchase po dear purchased type hub please log allocation kind regards administrator,1,5,13,7,32,3,4
access,hello particular next urgent wait thank,1,4,1,7,19,3,4
need a laptop charger for the day urgent,charger hello please borrow charger today left mine thank kind regards,1,5,13,7,41,3,4
poll virtual full increase threshold to,poll virtual increase threshold hello based confirmation please log assign increasing virtual poll threshold further information please let thank best regards senior engineer,1,4,2,21,59,3,4
update existing existing list of users with access pas,update existing existing users,1,4,3,0,70,3,4
code project set up oracle pas pas,code dear ask please both code per attached form kind regards december pm re code form thank good regards december code form hi attaching form review code required both stage kind regards,1,4,2,7,70,3,4
new social,social hi please create follows name social social initial clone roles allow future self important please test want introduce myself since coordinated restrictions thanks unit mobile mobile,1,4,2,7,36,3,4
planner app not sending notification to domain,planner app dear please responsible order investigate found planner application useful easy manage tasks has tried different tests enabling seems cannot receive products attachments please order planner app production best regards senior engineer,1,4,3,21,36,3,4
did not submit,did submit leaver form regards december did submit dear respond reminders requesting submit actions were taken after reminders please inform form completed submitted order replace leaver leaver name date leaving location regards note mailbox receive messages,1,4,2,21,40,3,4
re please accesses for new recruiter,re please accesses recruiter hello again please also include shared mailbox thanks december pm please accesses recruiter importance high hello pleased announce colleague discipline please help work related accesses recruiter jobs shared mailbox shared folder storage thank,1,4,1,7,36,3,4
assistance,assistance hello please assign currently helping setting solution thanks ale,1,4,1,7,65,3,4
access to storage to,storage hi guys please shared folder thanks,1,4,1,7,38,3,4
please accesses for new recruiter,please accesses recruiter hello pleased announce colleague discipline please help work related accesses recruiter jobs shared mailbox shared folder storage thank,1,4,1,7,38,3,4
urgent new project codes,urgent codes hi please per attached thanks kind regards ext,1,4,2,7,70,3,4
suspicious received add to blacklist,suspicious received hello friday colleagues received suspicious events note misspelled attached regards confidentiality notice transmission files messages attached contain information confidential legally privileged intended recipient person responsible delivering intended recipient please disclose contents person store copy information medium information contained attached transmission purpose received transmission error please immediately notify by privacy destroy transmission attachments without reading manner further information about products brands please visit,1,4,3,7,89,3,4
re video updates on the,re video updates hi please add video width component map instead moment locations latin insert years video locations central insert final video locations central please within stream thanks,1,4,2,7,99,3,4
help needed,help needed hi please give rights table faces ctrl regards head please consider environment printing content communication classified confidential proprietary information content communication intended solely individual entity whom addressed others authorized receive intended recipient hereby notified disclosure copying taking action reliance contents information strictly prohibited unlawful received communication error please notify immediately by responding communication then delete integrity communication has maintained nor communication free viruses interceptions interference appreciate assistance preserving confidentiality correspondence thank,1,4,1,7,70,3,4
access to bland induction on,few things hi guys please provide review regards head analysis,1,4,1,7,46,3,4
hardware internal,re moving testing analysis starting hi considering please help completion attached form thank lead friday december pm moving testing analysis starting hello please note moving analysis discipline starting st please find attached his his please let required thank help head analysis architecture,1,5,13,21,41,3,4
add user to com,add user hi ask add thank,1,4,2,7,4,3,4
organizational chart location on the,re organizational chart location dear chart again link works link best,1,4,3,88,46,3,4
add new pipes,add pipes dear please add values listed pipe thanks december add pipes hello discussed let create add pipes pipes add filter amount filter method filter frequency processing create plan processing delete plan processing plan input plan output finish best regards tester,1,4,3,7,51,3,4
install outlook on phone,install phone hi please advise how install phone had change both calendar thanks head,1,4,3,105,63,3,4
teams,teams hello please allow teams colleagues listed thank best,1,5,3,7,32,3,4
deleting wrong epic,deleting wrong epic hi usual process created epic tried link two stories later notified work process done stories issues epics please delete these issues needed going thank going create story follow approved model stories regards,1,4,3,87,51,3,4
,re starter ad credentials hello please role has allocated he same role thank lead,1,4,2,21,40,3,4
policies missing for,policies hi friday results noticed he comparing write write missed policies please investigate he included policies assigned correctly him he needs resources regards,1,4,2,21,4,3,4
team pass access,pass hello please rights pass best regards,1,4,1,7,93,3,4
new de,hi please add update pages attached content receive updated please within stream thanks,1,4,3,21,99,3,4
,hello please help regards engineer,1,4,1,7,19,3,4
postpone windows forced upgrade,re upgrade starting hello regarding friday upgrade possible upgrade after return holidays important deploy wednesday december available issues raised during after deploy until friday please upgrade until then please notify solution interfere daily work thank friday december pm upgrade starting hello please help upgrade upgrade followed path software center operating upgrade also upgrade automatically until did started after while received error probably because had sufficient drive under cleared drive automatically wanted upgrade manually nothing software center thank,1,5,15,21,100,3,4
oracle time can not be submitted,submitted dear sirs madames submitted days times within section inside enter possible submit working sometimes reaching site under sometimes screen standing hold enclosed please thank much kind regards senior consultant main main,1,4,2,21,67,3,4
canada approvers add approvers to this,canada approvers add approvers hello please add canada approvers thanks,1,4,1,7,56,3,4
cannot submit time card,cannot submit card hello please rise call thank best regards engineer december cannot submit card hello please advise thanks administration officer december cannot submit card card si annual leave si card ca best regards tester omissions,1,4,2,21,67,3,4
missing time cards for,please action submit cards hello keep reeving about she left around months ago please deactivate these thank december please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered entered total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,1,4,2,21,67,3,4
access to leadership library,wants library file opportunities lead accept decline requests,1,4,1,7,46,3,4
disable from ad,re addresses please also add everybody decommissioned deleted once based answers thanks unit,1,4,3,87,36,3,4
addresses queries,re addresses hi moreover please share rules around allowed addresses other addresses how these lists maintained date somebody leaving somebody joining envisage based questions facility teams myself allowed these groups anybody aiming these groups directed pending gets decommissioned deleted active directory thanks unit,1,4,3,88,36,3,4
new facing,facing hello please add facing action needed due workstations replacement myself other details needed please thanks,1,4,1,7,26,3,4
absence leave check approval flow,absence leave hello requested cancel annual absence leave december special leave gained worked november st december think got cancel he approved today remaining leaves about thank,1,4,2,21,67,3,4
urgent graduates program account extensions,urgent re graduates program workstations graduates please approve extension more days until wednesday thanks senior tester december re graduates program workstations hello again also accounts seems expired please reactivate more days thanks senior tester december graduates program workstations hello program has extended by days off keep workstations more days thanks senior tester,1,4,2,21,4,3,4
weekly renewal,weekly renewal dear please advised guest has successfully changed quotes devices jersey jersey failed change none found devices under failed other errors were reported please great ahead,1,5,22,88,52,3,4
remove admin account,re member hello install client back please touch requested by thank kind regards infrastructure friday december member si aces si removal rights upgrade la win se automat persons merci senior,1,5,2,87,32,3,4
change name for external user,friday december pm confluence thursday december pm confluence please rename stein he got divorced best regards ext extern confluence hi please create user her confluence thanks best regards ext extern des gent sitz main,1,4,2,21,4,3,4
new starter tower,starter dear please informed candidate accepted job offer become pm discipline officer st please create her credentials per attached form thank kind regards specialist,1,4,2,94,40,3,4
new comer,comer dear joined please him resources per attached also create confluence him thank,1,4,1,7,51,3,4
new starter center,re minute enrolment hello please find attached joining next thanks december minute enrolment hi please fill thank kind regards,1,4,2,94,40,3,4
new starter tower,starter dear please informed candidate accepted job offer become pm discipline cl please create her credentials per attached form thank kind regards specialist,1,4,2,94,40,3,4
password not on android device,android device dear please log assign removing re her her android phone updating after thanks kind regards engineer,1,4,3,7,36,3,4
access card,card dear colleagues please deactivate card let lost thank,1,7,1,87,73,3,4
change approval daily reports,change daily reports hello please assign sn daily basis changes approved by canadians under which changes logged canada canada hosting canada hosting canada hosting canada hosting canada si app canada app canada app canada app canada canada generic information canada hosting event monitoring canada please let question around topic thanks,1,4,3,7,56,3,4
files access,link hi provide link thanks,1,4,1,7,46,3,4
add users to list bod testing,add users testing hi guys please add testing thank regards senior tester colombia,1,4,1,7,4,3,4
term unpaid leave,term unpaid leave dear let his term unpaid leave until thank lead,1,4,2,21,67,3,4
wants to access practices,wants practices accept decline requests,1,4,1,7,46,3,4
mailbox size increase,mailbox size increase mailbox si la increase application engineer,1,4,3,7,36,3,4
to be approved,approved getting escalated threshold triggering responsible setting december approved contract id director mob fixed zone,1,4,3,88,10,3,4
oracle project setup oracle,setup hi please setup code per attached thanks,1,4,3,7,66,3,4
new purchase po,purchase po dear purchased adaptor type hub please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,1,5,13,7,32,3,4
access to,hello please give best regards senior developer,1,4,1,7,4,3,4
new purchase po,purchase po dear purchased professional ah patent lateral please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,1,5,13,7,32,3,4
approval flow,flow hi indicate next expense flow indicates he recalls expense show his queue regards,1,4,3,88,66,3,4
addresses,addresses please add members addresses everybody thanks unit,1,4,1,7,4,3,4
working from the site profile path changes,working site profile path changes dear kindly note tuesday working site require assistance usual profile path changes change ones found other details provide please let thanks assistance best regards leader mobile,1,4,1,7,4,3,4
cables needed,cables needed hello writing order cables arrived today order solved by thank best regards tester,1,5,13,7,32,3,4
new client into network,client hello writing order arrived client by please find addresses thank best regards tester,1,4,1,7,26,3,4
authentication for,authentication hello help setting received yesterday setup software needs issue want blind merge active directory credentials blind option works his credential worked fine haven apple infrastructure maybe needs part nj groups setup join macs nj devices appreciate help important big wish best loved ones during christmas good next kind regards engineer,1,4,1,7,4,3,4
leaver card,leaver nostrum parasite va ca si damaged,1,7,1,87,73,3,4
access to the th floor,floor hi please floor he joining thank officer,1,7,1,7,73,3,4
all list,dear va si head,1,4,1,7,4,3,4
new purchase po,purchase po dear purchased la type please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,1,5,13,7,32,3,4
new purchase po,purchase po dear purchased adaptor premium hub please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,32,3,4
groups,groups hi guys please update groups mentioned follows ones owners marked make ad has owner mentioned excel ones having text inactive marked red make disable groups seeing talking about groups recommend via script once done please preferably merge owners provide instructions how manage groups ownership thank,1,4,3,60,36,3,4
need assistance transferring files,assistance transferring files hello kind help transfer files thank best senior tester,1,5,3,60,32,3,4
azure account mirroring request azure,azure mirroring azure hi please log separate same azure mirroring azure regards leader dear please azure members assignment thanks kind regards,1,6,22,7,3,3,4
internal transfer milos physical access belgrade,transfer hardware allocation has assigned hello id card thank engineer tuesday december pm transfer hardware allocation has assigned hello please advised record number has assigned please review details take appropriate action reference number details description transfer dear please find form thank kind regards administrator location attachments transfer form please link kind regards please ref msg,1,7,1,7,73,3,4
access network,hello order connect machine thanks,1,4,1,7,4,3,4
internal transfer form changes,transfer form hello please fill transfer form thank administration officer,1,4,3,21,4,3,4
software,re software dear basically package license assigned assume buy parallels license handle installation joining kind regards engineer december software hi received software installed parallels virus copied out installation appropriate thanks,1,5,15,7,32,3,4
laptop stand,stand dear stand computer possible best regards tester,1,5,13,7,32,3,4
job code,job code hi anyone where job code database tables saw digging around find today job example spreadsheet job code chasing ideas schedule job rate date date tier rate regular tier rate thanks assistance continue digging find again consultant,1,4,3,88,68,3,4
new delivery,hello received today black po invoice please advise please log receiving shipment kind regards engineer ext,1,5,13,7,32,3,4
wants to access staffing assessment ms,wants staffing assessment assessment accept decline requests,1,4,1,7,46,3,4
access to account for a project,hi dear please log thanks friday december administrators hi today work possible allow user repositories related confluence looking forward regards by logo,1,4,2,7,51,3,4
external drive,drive dear borrow drive back format disks regards senior engineer,1,5,13,7,32,3,4
new purchase po,purchase po dear purchased headset interface adapters pack compatible phones valid wide please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,4,3,4
wrong,wrong hi please help delete items inserted deleted delete button other days thank br senior developer,1,4,2,21,67,3,4
confluence access for a project resources,resources hello starting work today repositories confluence resources thank looking forward regards,1,4,1,7,27,3,4
,dear please help copy thanks lead architect,1,5,15,7,32,3,4
maternity leave inventory update,re maternity leave sorry administration officer,1,5,13,51,32,3,4
oracle access,hello noticed please whole thank officer ext blvd,1,4,2,21,67,3,4
report link not secure,reminder informed about campaign hi link attached error reports link regards director december reminder informed about campaign hello apologies awareness regardless confirmation eligibility yet automate logic reminder follow next four survey quarters july october currently preparing upcoming want make informed contribute campaign please engage report find out surveyed eligibility next weeks remember survey survey name segment type main offer filled other file dashboard more assigned pm similar receiving please amend records information inaccurate care update questions please care copyright rights reserved please refer section entities by old broad street,1,4,3,88,25,3,4
notification issues between am to am time be resolved,re repeatedly working days row interval till related hi second please out communication thank,1,5,13,60,52,3,4
new starter form for it induction access card,tuesday november pm re starter form induction hi everyone started form attached best regards head ext tuesday november starter form induction hi please assist completion attached return form empty part thank officer,1,7,1,7,73,3,4
maternity leaver computer available,computer available hi since december maternity leave computer working thanks pean developer,1,5,13,51,32,3,4
replacement,replacement dear please log assign replace thank kind regards engineer,1,5,13,86,32,3,4
new purchase po,purchase po has assigned hello kind log separate tickets assigning mobile devices employees thank engineer ext december purchase po has assigned hello please advised record number has assigned please review details take appropriate action reference number details requested location generic location summary purchase po additional comments requirements purchase po dear purchased galaxy link mobile please log allocation kind regards administrator assign reference assignment summary purchase po location generic location attachments image please link kind regards please ref msg,1,5,13,7,32,3,4
list,hi please these persons change name thanks officer,1,4,3,7,36,3,4
remove access space for,re approved wrote hi please approve thank,1,4,1,87,73,3,4
suspicious quote router,suspicious quote router thursday december pm quote router arrivals hot sale routers promotional prices dear well family recently hot sale routers special promotion great price immediately share part price discount off unit price qty sec ax more items great price immediately enquiry more products visit router switch image removed by router switch image removed by image removed by image removed by image removed by router switch hongkong branch router switch image removed by image removed by image removed by twitter image removed by image removed by trouble viewing interested receiving,1,4,2,7,89,3,4
apply restrictions to,hi member needs added device disconnected disconnected disconnected also restrictions rights others thanks,1,5,13,7,32,3,4
maternity leave access card,re maternity leave hello please find maternity form sorry delay seems forgot about thank administration officer,1,7,1,51,73,3,4
new purchase po,purchase po dear purchased please log allocation please log retrieve old device after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,1,5,13,7,32,3,4
new purchase po,purchase po dear purchased hard rubber slim lite glass lite please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,1,5,13,7,32,3,4
career for boca,couch hi please help updates change couch myself thank discipline lead,1,4,2,21,67,3,4
change password information,change information hi please help work thanks officer thursday december pm change information hi please help work thanks officer thursday december pm change information hi probably has requested unfortunately passwords site please site administrator application,1,4,1,88,63,3,4
device alert notification paper at internal path,device path printer details output copier details output saver mode scanner ready details panel off mode printing model name device name comment floor host name name print name file name printer name zone name name computer name share name device notified,1,5,13,88,74,3,4
access to,dear please granting program enter program supported please favor colleague done him thank regards kind regards country,1,5,15,7,63,3,4
manage access shared mailbox what it means make owner of the,friday december re manage shared mailbox means hi also want make owner shared mailbox how note maybe thanks much december manage shared mailbox means dear please advised granted means shared mailbox kindly note take synchronization take thank kind regards analyst ext history reference history additional comments visible also please change mailbox owner thanks description shared mailbox manage shared mailbox shared mailbox name means owner shared mailbox users added shared mailbox users deleted shared mailbox ref msg,1,4,3,7,36,3,4
reset password,re expire today va ca user pass evaluator back sector cod postal mobil fax,1,4,2,76,51,3,4
wallpapers and lock screens,wallpapers lock screens good morning please log cr raised provided lock screens wallpapers pushed user devices wallpapers also keep loop she stand during upcoming two weeks thank,1,6,13,21,41,3,4
adding new columns to board board for project,columns board board hi please rights myself board cannot add columns statuses thank discipline lead,1,4,2,7,51,3,4
addition report,addition report hi please rise thank best regards engineer thursday december pm addition report la el thursday december pm addition report november pm addition report hello please find attached report addition cost found column report contains addition contain write best regards,1,4,3,105,67,3,4
new purchase po,purchase po dear purchased headsets cables cables please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,1,5,13,7,32,3,4
new purchase po,purchase po dear purchased sculpt ergonomic mouse please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,1,5,13,7,32,3,4
cr,re cr hi please production appreciate investigated matter priority additionally please extend configuration allowed well needs extend side please advise thanks tuesday november cr importance high hi please help extending add well proxy production inside secure proxy production production stack production inside secure production connecting cards appreciate resolution given production setup today thanks,1,6,22,21,95,3,4
can read encrypted internal,hi ask relevant outbox earlier today subject re configured tags properties checked encrypt contents attachments arrived presumably automatically decrypted him question content attachments were attachments particular actual content sensitive testing because about understand content left outbox easily find how content appears administrator interested results too kind regards information compliance officer extension,1,4,2,88,36,3,4
employee information query from modification,information query modification hello product owner currently retrieving add compensation reviewer id currently query please help complete require corresponding compensation reviewer returned by query please let questions help complete thank lead,1,4,3,21,67,3,4
client access request,client hi please create ticked based bellow assign pm la ca si client se care si pm hi pm user variables client tools pm call pm pm connected pm call has ended duration thank engineer,1,4,1,7,70,3,4
pas for pollinate networks,pollinate networks dear ask please client pre code per attached form both opp opportunity id thank,1,4,2,7,70,3,4
policies for db servers,policies dear please thread assign myself thank technical leader re policies hi mentioned shared screens rules related file extension paths extensions example paths complete also number screen makes think related version each version has own installation path described link additionally categories processes bin bin details link help how choose software run running make sense create separate policy each version apply further related version build big policy versions separate times had change default installation path drive dedicated partition advise how these cases individual rules looking forward best regards technical leader re policies hi thank details seen rules related more analyze deeper unfortunately come back second part next best regards technical leader re policies hi amp capability exclusions selected assets currently policy controllers policy attached exclusions policy add let create policy regards mo december policies hi mo work amp policies please discuss add exceptions thanks regards wednesday december re policies hello pm replacement him thread replaced amp stage roll out touch side thank kind regards infrastructure tuesday december pm policies hi heard plan change software environment found recently special policy must catch understand status part environment treated dbms vendor recommends thank kind regards technical leader,1,4,2,21,5,3,4
access request to project storage,storage dear please users storage tester thank sincerely,1,4,1,7,38,3,4
access to bid vault,bid vault hi please urgently provide location child folders working cannot uploaded by thanks,1,4,2,7,10,3,4
change owner of on one com,re please dear owner please requests ownership thank,1,4,2,21,46,3,4
